fold,scenario,method,seed,best_epoch,trained_epochs,n_test,mae,rmse,median_ae,r2,spearman
2,bvse_calibrated_delta,positional,7,29,49,324,0.2644115089594076,0.38826993124043385,0.19149520993232727,0.7661250703511698,0.7600127014368502
2,bvse_calibrated_delta,positional,17,22,42,324,0.2535153071505282,0.3949700173529154,0.17381229624152184,0.7579838151813599,0.7654944298907149
2,bvse_calibrated_delta,positional,29,18,38,324,0.2712507270604234,0.4045089008990626,0.18582334741950035,0.7461528353169635,0.7703276794298467
2,dft_path,crystal,7,14,34,324,0.47230232094506513,0.7824442691753892,0.26319777220487595,0.050220087292163984,0.2369406876933067
2,dft_path,crystal,17,66,86,324,0.5103936312335003,0.8344039041130417,0.27979522198438644,-0.08011203992800531,0.2735402732519368
2,dft_path,crystal,29,39,59,324,0.5127333159943651,0.805575974739188,0.2934747785329819,-0.00676744382884209,0.24884072435909407
2,dft_path,midpoint,7,38,58,324,0.32009878213356396,0.5161762213175005,0.19158734753727913,0.5866555218277762,0.6969602991894014
2,dft_path,midpoint,17,19,39,324,0.2924741792785763,0.491334954796646,0.18739858269691467,0.6254830513871323,0.6929812212784349
2,dft_path,midpoint,29,45,65,324,0.329286071681705,0.5225432943095257,0.1922578252851963,0.576395358548032,0.6917932841152655
2,dft_path,positional,7,73,93,324,0.2751093932835638,0.4217402559593905,0.1799277886748314,0.724065332752702,0.744447443394812
2,dft_path,positional,17,41,61,324,0.3058483703780551,0.4801009071922299,0.20020633935928345,0.6424134250824582,0.7120196166635796
2,dft_path,positional,29,71,91,324,0.2982562734532733,0.4763453824962241,0.1789783537387848,0.6479858902338606,0.7005989080292487
2,dft_path,trajectory,7,12,32,324,0.3498871364303071,0.5438934740318562,0.22529377043247223,0.5410727476258036,0.6145953622114614
2,dft_path,trajectory,17,22,42,324,0.3649466287166478,0.5414409626136221,0.24112612009048462,0.5452021839457587,0.5231148971196775
2,dft_path,trajectory,29,59,79,324,0.36057572353366807,0.5954859397000084,0.21576030552387238,0.44987779449651777,0.6084478667760402
3,affine_bvse,affine_em_bvse,7,0,0,348,0.282504853427949,0.4151732142551449,0.20412245636932763,0.6549729250347985,0.7018610831987703
3,affine_bvse,affine_em_bvse,17,0,0,348,0.282504853427949,0.4151732142551449,0.20412245636932763,0.6549729250347985,0.7018610831987703
3,affine_bvse,affine_em_bvse,29,0,0,348,0.282504853427949,0.4151732142551449,0.20412245636932763,0.6549729250347985,0.7018610831987703
3,bvse_calibrated_delta,positional,7,29,49,348,0.2576472558209608,0.39681922330837943,0.1727892979979515,0.6848045577979993,0.6899074512519551
3,bvse_calibrated_delta,positional,17,20,40,348,0.2485647800795991,0.3977516360469681,0.16657165437936783,0.6833215775897661,0.7074547827198676
3,bvse_calibrated_delta,positional,29,26,46,348,0.23004406555716334,0.36928508281007677,0.1542145311832428,0.7270280306614713,0.7496952579835858
3,dft_path,crystal,7,6,26,348,0.4165406160955799,0.6712445693358443,0.2720593512058258,0.09810476258802647,0.4294373925156881
3,dft_path,crystal,17,4,24,348,0.42350314495464164,0.7328467155229859,0.22042065858840942,-0.07503057182511808,0.30454018621718576
3,dft_path,crystal,29,6,26,348,0.40656508409000675,0.6887015609236997,0.22518539428710938,0.05058375596297415,0.355093496310737
3,dft_path,midpoint,7,10,30,348,0.3331316562861889,0.5123663996937554,0.2008807584643364,0.47452046551323535,0.5897883448885203
3,dft_path,midpoint,17,10,30,348,0.3017322172935324,0.45716962087848595,0.2085588276386261,0.5816408705204119,0.6627396399815829
3,dft_path,midpoint,29,46,66,348,0.31396961749542035,0.47436579505267684,0.22505886107683182,0.5495762776761053,0.6179251232991465
3,dft_path,positional,7,26,46,348,0.27185673127486104,0.4144098012749054,0.18490225076675415,0.6562406177275506,0.7100003502290868
3,dft_path,positional,17,21,41,348,0.26949757241226474,0.42814324755796185,0.18224887549877167,0.6330788708563908,0.6847775917165979
3,dft_path,positional,29,38,58,348,0.2583657870304653,0.3873582709540577,0.171291321516037,0.6996551493243687,0.6826810577601796
