outcome,variable,bin,n,variable_mean,mean_improvement,median_improvement,fraction_helped,mean_ci_low,mean_ci_high
delta_pos,dft_tortuosity,"(1.102, 9.998]",55,1.3783638758117374,0.05505518155151746,0.021495461463928278,0.5636363636363636,-0.05199522507240477,0.16790453915257422
delta_pos,dft_bottleneck_mean_k_distance,"(1.8350000000000002, 1.97]",55,1.922627994301495,0.18455205368117295,0.1179038196802139,0.6363636363636364,0.08196981339169981,0.2943611310443276
delta_pos,dft_bottleneck_mean_k_distance,"(1.97, 2.014]",55,1.9934621231930312,-0.009562086731749261,-0.000857493188709757,0.4909090909090909,-0.0821698718499236,0.06138323710435453
delta_pos,dft_bottleneck_mean_k_distance,"(2.014, 2.069]",55,2.0417767632002564,-0.014611474305680435,0.016431224346160844,0.5454545454545454,-0.0712673682077559,0.038448587902359194
delta_pos,dft_bottleneck_mean_k_distance,"(2.069, 2.539]",55,2.1667839464496383,0.06140394902820483,0.020239758491516102,0.5636363636363636,0.014274746435361437,0.11753109429666467
delta_pos,dft_coordination_range,"(-0.001, 2.0]",91,1.6373626373626373,0.07003701055977953,0.021383288502693165,0.5604395604395604,0.026201885216579953,0.1234081777875361
delta_pos,dft_coordination_range,"(2.0, 3.0]",37,3.0,0.008253167021127961,0.05653074979782102,0.5945945945945946,-0.06915139175807872,0.0769095822525245
delta_pos,dft_coordination_range,"(3.0, 5.0]",54,4.481481481481482,-0.02259673048158802,-0.007492716610431632,0.42592592592592593,-0.10391415156859711,0.0630931222958706
delta_pos,dft_coordination_range,"(5.0, 11.0]",38,7.394736842105263,0.17735585782213756,0.048583611845970154,0.7105263157894737,0.06104853674826199,0.3034403538393015
delta_pos,bvse_path_length,"(2.113, 3.404]",55,3.1023481387482104,0.0367147060645954,0.023929506540298462,0.6363636363636364,0.0037572217399016008,0.06828038734754294
delta_pos,bvse_path_length,"(3.404, 3.921]",55,3.61298846461734,0.018009232652094934,-0.000857493188709757,0.4909090909090909,-0.007717598788830619,0.046190543154409375
delta_pos,bvse_path_length,"(3.921, 5.291]",55,4.472267847663513,0.0066844601852756305,0.020239758491516102,0.5272727272727272,-0.03996826177980355,0.05104924210736187
delta_pos,bvse_path_length,"(5.291, 17.94]",55,6.250125751367839,0.16037404276998218,0.10114487409591677,0.5818181818181818,0.021139739312015515,0.3018079765809463
delta_pos,bvse_tortuosity,"(0.999, 1.068]",55,1.0333729487876793,0.09724839453222558,0.035231012105941706,0.5454545454545454,0.014988000741700572,0.1912710917393966
delta_pos,bvse_tortuosity,"(1.068, 1.111]",55,1.0901751158163113,-0.039631582308344904,-0.0057561706141995295,0.43636363636363634,-0.09049055692393357,0.0059194351265420804
delta_pos,bvse_tortuosity,"(1.111, 1.176]",55,1.1370265493120388,0.13214914500876376,0.05181442201137543,0.7272727272727273,0.06682933190566369,0.21312331802524195
delta_pos,bvse_tortuosity,"(1.176, 1.981]",55,1.2667651562503515,0.03201648443930367,0.016336053609848022,0.5272727272727272,-0.06061848934337275,0.12020874820475645
