outcome,feature_set,task,model,repeat,r2,mae,spearman,roc_auc,balanced_accuracy
delta_pos,trajectory_profiles,classification,logistic,2,,,,0.43089430894308944,0.4422512781828849
delta_pos,trajectory_profiles,classification,random_forest,2,,,,0.48889447657363166,0.4901517056407677
delta_pos,trajectory_profiles,classification,logistic,3,,,,0.3709663900762719,0.4264940072081133
delta_pos,trajectory_profiles,classification,random_forest,3,,,,0.40742603302321684,0.4365099321096304
delta_pos,trajectory_profiles,classification,logistic,4,,,,0.40248093202581514,0.44660967228228987
delta_pos,trajectory_profiles,classification,random_forest,4,,,,0.43374402816193114,0.44137121783588973
delta_pos,trajectory_profiles,classification,logistic,5,,,,0.3882323359316067,0.4349174419579247
delta_pos,trajectory_profiles,classification,random_forest,5,,,,0.4880563238622077,0.49777889531472636
delta_pos,trajectory_profiles,classification,logistic,6,,,,0.4096052300729192,0.43382784343307346
delta_pos,trajectory_profiles,classification,random_forest,6,,,,0.4157237448663146,0.45356633978710925
delta_pos,trajectory_profiles,classification,logistic,7,,,,0.3811918531556449,0.40130751822982147
delta_pos,trajectory_profiles,classification,random_forest,7,,,,0.4563741513703797,0.48964881401391336
delta_pos,trajectory_profiles,classification,logistic,8,,,,0.3464085156315481,0.37067303662727347
delta_pos,trajectory_profiles,classification,random_forest,8,,,,0.3912496856927332,0.44464001341044335
delta_pos,trajectory_profiles,classification,logistic,9,,,,0.39644623250356215,0.42678736065711176
delta_pos,trajectory_profiles,classification,random_forest,9,,,,0.49526443718045426,0.5140390579163523
delta_pos,published_plus_profiles,regression,random_forest,0,-0.13912386969175472,0.18641860945039962,-0.23147486037930473,,
delta_pos,published_plus_profiles,regression,ridge,0,-0.1204584847582113,0.20691822559006184,0.06274096572243228,,
delta_pos,published_plus_profiles,regression,random_forest,1,-0.03981406186503955,0.18225323543390026,-0.09899925590102439,,
delta_pos,published_plus_profiles,regression,ridge,1,-0.08369336826811025,0.2082503130539496,0.07940584797957885,,
delta_pos,published_plus_profiles,regression,random_forest,2,-0.06286657598319034,0.17948271975650848,-0.0901952155057,,
delta_pos,published_plus_profiles,regression,ridge,2,-0.19553472031851782,0.22155842649101914,0.08401976750083115,,
delta_pos,published_plus_profiles,regression,random_forest,3,-0.11439556548374985,0.19028953746892513,-0.11505954202260438,,
delta_pos,published_plus_profiles,regression,ridge,3,-0.17609328205909303,0.2139494241555825,0.07122836873038324,,
delta_pos,published_plus_profiles,regression,random_forest,4,-0.07749375117600521,0.18374039824620736,-0.11688699916634614,,
delta_pos,published_plus_profiles,regression,ridge,4,-0.1390101702027815,0.2119186593827123,0.11340842879924266,,
delta_pos,published_plus_profiles,regression,random_forest,5,-0.050652447332863115,0.17966891386486838,-0.004960472030922708,,
delta_pos,published_plus_profiles,regression,ridge,5,-0.21701480194439493,0.2156093779584842,0.05583586437736316,,
delta_pos,published_plus_profiles,regression,random_forest,6,-0.1715400517958925,0.19034048736740297,-0.22801673702419664,,
delta_pos,published_plus_profiles,regression,ridge,6,-0.2661490408664804,0.21992395410879662,0.04830528053735145,,
delta_pos,published_plus_profiles,regression,random_forest,7,-0.11131042882046605,0.19036066980464494,-0.1818329352219823,,
delta_pos,published_plus_profiles,regression,ridge,7,-0.14097077068779296,0.21484095435895784,0.047901816153226306,,
delta_pos,published_plus_profiles,regression,random_forest,8,-0.01357228494340279,0.18033847692761557,-0.03796003616529685,,
delta_pos,published_plus_profiles,regression,ridge,8,-0.12271978491340185,0.2193207574699056,0.04883947639789702,,
delta_pos,published_plus_profiles,regression,random_forest,9,-0.028211008371284763,0.1802741390778368,-0.06460788835524785,,
delta_pos,published_plus_profiles,regression,ridge,9,-0.16834546541876927,0.21503355480244257,0.07410333421614647,,
delta_pos,published_plus_profiles,classification,logistic,0,,,,0.4332411365350767,0.4492917609588467
delta_pos,published_plus_profiles,classification,random_forest,0,,,,0.37700108959852485,0.4489984075098483
delta_pos,published_plus_profiles,classification,logistic,1,,,,0.4733886514122873,0.4967731120610175
delta_pos,published_plus_profiles,classification,random_forest,1,,,,0.4314810158410862,0.48231497778895316
delta_pos,published_plus_profiles,classification,logistic,2,,,,0.5202413879808901,0.5146257648143492
delta_pos,published_plus_profiles,classification,random_forest,2,,,,0.47305339032771776,0.48935546056491497
delta_pos,published_plus_profiles,classification,logistic,3,,,,0.44816025479842425,0.4983656022127232
delta_pos,published_plus_profiles,classification,random_forest,3,,,,0.41161679658033695,0.43948537423518563
delta_pos,published_plus_profiles,classification,logistic,4,,,,0.4825245159668091,0.4891459223870589
delta_pos,published_plus_profiles,classification,random_forest,4,,,,0.4163104517643115,0.43730617718548315
delta_pos,published_plus_profiles,classification,logistic,5,,,,0.4888944765736318,0.4761545553599866
delta_pos,published_plus_profiles,classification,random_forest,5,,,,0.4813511021708155,0.51919369709161
delta_pos,published_plus_profiles,classification,logistic,6,,,,0.49350431648646387,0.47883664403654347
delta_pos,published_plus_profiles,classification,random_forest,6,,,,0.429134188249099,0.43106193948537425
delta_pos,published_plus_profiles,classification,logistic,7,,,,0.4590562400469366,0.4536501550582516
delta_pos,published_plus_profiles,classification,random_forest,7,,,,0.4488307769675635,0.49698265023887356
delta_pos,published_plus_profiles,classification,logistic,8,,,,0.4624088508926327,0.46664152208532395
delta_pos,published_plus_profiles,classification,random_forest,8,,,,0.3902439024390244,0.4118263347581929
delta_pos,published_plus_profiles,classification,logistic,9,,,,0.48386556030508754,0.4574218422596597
delta_pos,published_plus_profiles,classification,random_forest,9,,,,0.49249853323275505,0.5129494593915012
delta_bvse,published_litraj,regression,random_forest,0,0.01181573261603086,0.137362006953622,0.23909756810902028,,
delta_bvse,published_litraj,regression,ridge,0,-0.04220024743226114,0.14801985582206495,0.029738029899190253,,
delta_bvse,published_litraj,regression,random_forest,1,-0.08156248710440317,0.1432346505810904,0.10450198957378395,,
delta_bvse,published_litraj,regression,ridge,1,-0.08627349933034045,0.1489445049556693,-0.046618168294235984,,
delta_bvse,published_litraj,regression,random_forest,2,-0.04163673470868856,0.14399735973382022,0.09557385986646115,,
delta_bvse,published_litraj,regression,ridge,2,-0.11236548520399925,0.15189512957636217,-0.06673278373520114,,
delta_bvse,published_litraj,regression,random_forest,3,-0.034514839237556494,0.1422884754656122,0.10401281395683497,,
delta_bvse,published_litraj,regression,ridge,3,-0.09014772301782625,0.15055796813920447,-0.027108749429458533,,
delta_bvse,published_litraj,regression,random_forest,4,-0.04359211313490885,0.14062644206153027,0.11552740816188575,,
delta_bvse,published_litraj,regression,ridge,4,-0.11222386467105983,0.1512506880133946,-0.05550790869082569,,
delta_bvse,published_litraj,regression,random_forest,5,-0.025401267278084783,0.14115317461948726,0.1285081677752719,,
delta_bvse,published_litraj,regression,ridge,5,-0.05216724404928219,0.1472358716477087,-0.0035849726421845677,,
delta_bvse,published_litraj,regression,random_forest,6,-0.061819195835304486,0.14561978040921172,0.04979919723982915,,
delta_bvse,published_litraj,regression,ridge,6,-0.08498285496613689,0.1495635164216325,-0.038333624473833976,,
delta_bvse,published_litraj,regression,random_forest,7,-0.033136198967142594,0.14442783703578194,0.09613006000711348,,
delta_bvse,published_litraj,regression,ridge,7,-0.058711965768697416,0.14874142054606018,-0.043804060564737436,,
