outcome,feature_set,task,model,permutation,score
delta_pos,published_litraj,regression,random_forest,93,-0.0758430683196272
delta_pos,published_litraj,regression,ridge,93,-0.04363066026656368
delta_pos,published_litraj,regression,random_forest,94,-0.135074105540205
delta_pos,published_litraj,regression,ridge,94,-0.06096389771576398
delta_pos,published_litraj,regression,random_forest,95,-0.0837760795452781
delta_pos,published_litraj,regression,ridge,95,-0.08049028825284613
delta_pos,published_litraj,regression,random_forest,96,-0.03725221038018382
delta_pos,published_litraj,regression,ridge,96,-0.012704799447412207
delta_pos,published_litraj,regression,random_forest,97,-0.02701090418043256
delta_pos,published_litraj,regression,ridge,97,-0.03685785800893147
delta_pos,published_litraj,regression,random_forest,98,-0.07888103266631138
delta_pos,published_litraj,regression,ridge,98,-0.04399742163468443
delta_pos,published_litraj,regression,random_forest,99,-0.031252683038460426
delta_pos,published_litraj,regression,ridge,99,-0.007466026347763999
delta_pos,published_litraj,regression,random_forest,100,-0.017799507381809763
delta_pos,published_litraj,regression,ridge,100,-0.031292493285688325
delta_pos,published_litraj,regression,random_forest,101,-0.057283754051216884
delta_pos,published_litraj,regression,ridge,101,-0.047301064480493184
delta_pos,published_litraj,regression,random_forest,102,-0.0708315590577652
delta_pos,published_litraj,regression,ridge,102,-0.0689431662859897
delta_pos,published_litraj,regression,random_forest,103,-0.08046259052989506
delta_pos,published_litraj,regression,ridge,103,-0.036140323727938684
delta_pos,published_litraj,regression,random_forest,104,-0.031200764636898737
delta_pos,published_litraj,regression,ridge,104,-0.024834344736721636
delta_pos,published_litraj,regression,random_forest,105,-0.0703436192744344
delta_pos,published_litraj,regression,ridge,105,-0.026024402147067582
delta_pos,published_litraj,regression,random_forest,106,-0.057036150900904234
delta_pos,published_litraj,regression,ridge,106,-0.0769009717874308
delta_pos,published_litraj,regression,random_forest,107,-0.0439116601791638
delta_pos,published_litraj,regression,ridge,107,-0.050698416415098445
delta_pos,published_litraj,regression,random_forest,108,-0.0860415920929104
delta_pos,published_litraj,regression,ridge,108,-0.06700608132952016
delta_pos,published_litraj,regression,random_forest,109,-0.08389544612770194
delta_pos,published_litraj,regression,ridge,109,-0.06299069346372739
delta_pos,published_litraj,regression,random_forest,110,-0.08929699498301964
delta_pos,published_litraj,regression,ridge,110,-0.058134982945968236
delta_pos,published_litraj,regression,random_forest,111,-0.07197544548971493
delta_pos,published_litraj,regression,ridge,111,-0.028052784698625866
delta_pos,published_litraj,regression,random_forest,112,-0.06290795467085657
delta_pos,published_litraj,regression,ridge,112,-0.05138732302797253
delta_pos,published_litraj,regression,random_forest,113,-0.04930359618058986
delta_pos,published_litraj,regression,ridge,113,-0.06323132452221987
delta_pos,published_litraj,regression,random_forest,114,-0.06143149698192123
delta_pos,published_litraj,regression,ridge,114,-0.04859587472067943
delta_pos,published_litraj,regression,random_forest,115,-0.04654524324838853
delta_pos,published_litraj,regression,ridge,115,-0.012604670897711511
delta_pos,published_litraj,regression,random_forest,116,-0.07827716792144172
delta_pos,published_litraj,regression,ridge,116,-0.056601854742678225
delta_pos,published_litraj,regression,random_forest,117,-0.1265412277046986
delta_pos,published_litraj,regression,ridge,117,-0.07700346200354713
delta_pos,published_litraj,regression,random_forest,118,-0.07806393055958427
delta_pos,published_litraj,regression,ridge,118,-0.03812356414771438
delta_pos,published_litraj,regression,random_forest,119,-0.05865563874577617
delta_pos,published_litraj,regression,ridge,119,-0.0056904173431274515
delta_pos,published_litraj,regression,random_forest,120,-0.07710910890485256
delta_pos,published_litraj,regression,ridge,120,-0.07611128668814335
delta_pos,published_litraj,regression,random_forest,121,-0.09006317206641994
delta_pos,published_litraj,regression,ridge,121,-0.058195549096585995
delta_pos,published_litraj,regression,random_forest,122,-0.06823575231813905
delta_pos,published_litraj,regression,ridge,122,-0.05398802499036106
delta_pos,published_litraj,regression,random_forest,123,-0.08284205126321158
delta_pos,published_litraj,regression,ridge,123,-0.06990983497522427
delta_pos,published_litraj,regression,random_forest,124,-0.05781260762241915
delta_pos,published_litraj,regression,ridge,124,-0.06456346417098253
delta_pos,published_litraj,regression,random_forest,125,-0.07681502942882104
delta_pos,published_litraj,regression,ridge,125,-0.03872507437780479
delta_pos,published_litraj,regression,random_forest,126,-0.06321720415653849
delta_pos,published_litraj,regression,ridge,126,-0.046646509506763564
delta_pos,published_litraj,regression,random_forest,127,-0.0057252706808321955
delta_pos,published_litraj,regression,ridge,127,0.015373366037692704
delta_pos,published_litraj,regression,random_forest,128,-0.044176101933228316
delta_pos,published_litraj,regression,ridge,128,-0.04803046824621611
delta_pos,published_litraj,regression,random_forest,129,-0.04364562925444748
delta_pos,published_litraj,regression,ridge,129,-0.03613267925617367
delta_pos,published_litraj,regression,random_forest,130,-0.06914481444522602
delta_pos,published_litraj,regression,ridge,130,-0.0533141172415359
delta_pos,published_litraj,regression,random_forest,131,-0.11371068314468762
delta_pos,published_litraj,regression,ridge,131,-0.06541749488907442
delta_pos,published_litraj,regression,random_forest,132,-0.06706914358979876
delta_pos,published_litraj,regression,ridge,132,-0.039310814663690664
delta_pos,published_litraj,regression,random_forest,133,-0.07317676706699935
delta_pos,published_litraj,regression,ridge,133,-0.06265679669746596
delta_pos,published_litraj,regression,random_forest,134,-0.053765376238209185
delta_pos,published_litraj,regression,ridge,134,-0.01233411439478096
delta_pos,published_litraj,regression,random_forest,135,-0.04510261003117264
delta_pos,published_litraj,regression,ridge,135,-0.04017563983283605
delta_pos,published_litraj,regression,random_forest,136,-0.0405883671392262
delta_pos,published_litraj,regression,ridge,136,-0.04910549926259655
delta_pos,published_litraj,regression,random_forest,137,-0.048787797106451446
delta_pos,published_litraj,regression,ridge,137,-0.034553325488246814
delta_pos,published_litraj,regression,random_forest,138,-0.09382785033534868
delta_pos,published_litraj,regression,ridge,138,-0.0873247343675245
delta_pos,published_litraj,regression,random_forest,139,-0.0993523955996686
delta_pos,published_litraj,regression,ridge,139,-0.03915784712825985
delta_pos,published_litraj,regression,random_forest,140,-0.05956651346498829
delta_pos,published_litraj,regression,ridge,140,-0.06536382598573934
delta_pos,published_litraj,regression,random_forest,141,-0.06292359030823884
delta_pos,published_litraj,regression,ridge,141,-0.04472276793587961
delta_pos,published_litraj,regression,random_forest,142,-0.008551207882266421
delta_pos,published_litraj,regression,ridge,142,-0.04977053562586349
delta_pos,published_litraj,regression,random_forest,143,-0.056028626779384604
delta_pos,published_litraj,regression,ridge,143,-0.06307142536925683
delta_pos,published_litraj,regression,random_forest,144,-0.09224994302676029
delta_pos,published_litraj,regression,ridge,144,-0.07049581164836305
delta_pos,published_litraj,regression,random_forest,145,-0.10098536813567846
delta_pos,published_litraj,regression,ridge,145,-0.05618984823108235
delta_pos,published_litraj,regression,random_forest,146,-0.04072800323912977
delta_pos,published_litraj,regression,ridge,146,-0.0487354345676273
delta_pos,published_litraj,regression,random_forest,147,-0.05908682198716746
delta_pos,published_litraj,regression,ridge,147,-0.08064542230117613
delta_pos,published_litraj,regression,random_forest,148,-0.04123562719719864
delta_pos,published_litraj,regression,ridge,148,-0.04996062825601037
delta_pos,published_litraj,regression,random_forest,149,-0.060576551561161575
delta_pos,published_litraj,regression,ridge,149,-0.05803175860080665
delta_pos,published_litraj,regression,random_forest,150,-0.06363333308551677
delta_pos,published_litraj,regression,ridge,150,-0.0568540405512308
delta_pos,published_litraj,regression,random_forest,151,-0.05178315834597917
delta_pos,published_litraj,regression,ridge,151,-0.04455900979826013
delta_pos,published_litraj,regression,random_forest,152,-0.06027165741914009
delta_pos,published_litraj,regression,ridge,152,-0.03789484517736763
delta_pos,published_litraj,regression,random_forest,153,-0.09912483387517981
delta_pos,published_litraj,regression,ridge,153,-0.05076133031731171
delta_pos,published_litraj,regression,random_forest,154,-0.053833027196257155
delta_pos,published_litraj,regression,ridge,154,-0.10396434029387669
delta_pos,published_litraj,regression,random_forest,155,-0.061246769424760525
delta_pos,published_litraj,regression,ridge,155,-0.06389976647408946
delta_pos,published_litraj,regression,random_forest,156,-0.012984974596489174
delta_pos,published_litraj,regression,ridge,156,-0.036135203533956314
delta_pos,published_litraj,regression,random_forest,157,-0.07393861218877396
delta_pos,published_litraj,regression,ridge,157,-0.06281984943152404
delta_pos,published_litraj,regression,random_forest,158,-0.0336352085813561
delta_pos,published_litraj,regression,ridge,158,-0.006238127685566563
delta_pos,published_litraj,regression,random_forest,159,-0.06827356671144151
delta_pos,published_litraj,regression,ridge,159,-0.04034445679770562
delta_pos,published_litraj,regression,random_forest,160,-0.10999866004862173
delta_pos,published_litraj,regression,ridge,160,-0.0587853510939
delta_pos,published_litraj,regression,random_forest,161,-0.0744365379551571
