outcome,repeat,n_hops,seeds_a,seeds_b,pearson,spearman
positional_benefit,22,220,23;35;59;71;93,41;87;155;201;803,0.8604447809452774,0.7117292055245319
positional_benefit,23,220,23;35;59;71;155,41;87;93;201;803,0.8289235268290045,0.6755458884387167
positional_benefit,24,220,23;35;59;71;201,41;87;93;155;803,0.850437573336697,0.69032981522909
positional_benefit,25,220,23;35;59;71;803,41;87;93;155;201,0.8590321028371812,0.7099508066470194
positional_benefit,26,220,23;35;59;87;93,41;71;155;201;803,0.8245272473168569,0.7128077402050005
positional_benefit,27,220,23;35;59;87;155,41;71;93;201;803,0.8634943648097159,0.6900818762220857
positional_benefit,28,220,23;35;59;87;201,41;71;93;155;803,0.8178371136466469,0.6970748832150928
positional_benefit,29,220,23;35;59;87;803,41;71;93;155;201,0.8407381365301052,0.7411652006333714
positional_benefit,30,220,23;35;59;93;155,41;71;87;201;803,0.8021535168897727,0.6729436558606582
positional_benefit,31,220,23;35;59;93;201,41;71;87;155;803,0.8683359553862863,0.7310414001791923
positional_benefit,32,220,23;35;59;93;803,41;71;87;155;201,0.854238602224371,0.7177642663541132
positional_benefit,33,220,23;35;59;155;201,41;71;87;93;803,0.8542279501296839,0.7429255675831018
positional_benefit,34,220,23;35;59;155;803,41;71;87;93;201,0.8619971993087445,0.6997864343553304
positional_benefit,35,220,23;35;59;201;803,41;71;87;93;155,0.8814299860841599,0.7583778026969001
positional_benefit,36,220,23;35;71;87;93,41;59;155;201;803,0.8698003425227707,0.7515065112164225
positional_benefit,37,220,23;35;71;87;155,41;59;93;201;803,0.8838802546768646,0.70207987017012
positional_benefit,38,220,23;35;71;87;201,41;59;93;155;803,0.8739340950031118,0.718546401221663
positional_benefit,39,220,23;35;71;87;803,41;59;93;155;201,0.8801470843828334,0.735789432163324
positional_benefit,40,220,23;35;71;93;155,41;59;87;201;803,0.7895133417842908,0.6592450257236719
positional_benefit,41,220,23;35;71;93;201,41;59;87;155;803,0.8910593022943214,0.719072708113804
positional_benefit,42,220,23;35;71;93;803,41;59;87;155;201,0.8590768212082224,0.7117979522492012
positional_benefit,43,220,23;35;71;155;201,41;59;87;93;803,0.8508638630558841,0.7196440948254001
positional_benefit,44,220,23;35;71;155;803,41;59;87;93;201,0.8408989381153863,0.657229957794019
positional_benefit,45,220,23;35;71;201;803,41;59;87;93;155,0.8974737154709728,0.7373706068307196
positional_benefit,46,220,23;35;87;93;155,41;59;71;201;803,0.8007021244171586,0.685813944315153
positional_benefit,47,220,23;35;87;93;201,41;59;71;155;803,0.8343210375012443,0.6975854121704242
positional_benefit,48,220,23;35;87;93;803,41;59;71;155;201,0.8184176863272361,0.7392211334193606
positional_benefit,49,220,23;35;87;155;201,41;59;71;93;803,0.8658062240945156,0.7007409995322968
positional_benefit,50,220,23;35;87;155;803,41;59;71;93;201,0.8710591509051886,0.6832455216016861
positional_benefit,51,220,23;35;87;201;803,41;59;71;93;155,0.8582303916271915,0.7223669159205017
positional_benefit,52,220,23;35;93;155;201,41;59;71;87;803,0.7822757646775669,0.660310036458304
positional_benefit,53,220,23;35;93;155;803,41;59;71;87;201,0.7509988213074633,0.6359026952097057
positional_benefit,54,220,23;35;93;201;803,41;59;71;87;155,0.848251805688712,0.6855975611817675
positional_benefit,55,220,23;35;155;201;803,41;59;71;87;93,0.8479000367248609,0.6931788598186664
positional_benefit,56,220,23;41;59;71;87,35;93;155;201;803,0.7976124159215982,0.6566236342223449
positional_benefit,57,220,23;41;59;71;93,35;87;155;201;803,0.8691457845044955,0.7276040639457239
positional_benefit,58,220,23;41;59;71;155,35;87;93;201;803,0.8244771714779195,0.6800369654519535
positional_benefit,59,220,23;41;59;71;201,35;87;93;155;803,0.8009711222612056,0.6619565768639096
positional_benefit,60,220,23;41;59;71;803,35;87;93;155;201,0.8360544382572055,0.7163363630728659
positional_benefit,61,220,23;41;59;87;93,35;71;155;201;803,0.8619197682845715,0.733159024698106
positional_benefit,62,220,23;41;59;87;155,35;71;93;201;803,0.8885651125703442,0.7223263440829919
positional_benefit,63,220,23;41;59;87;201,35;71;93;155;803,0.797054930704454,0.6728827981043934
positional_benefit,64,220,23;41;59;87;803,35;71;93;155;201,0.8467924167779306,0.7503637377932301
positional_benefit,65,220,23;41;59;93;155,35;71;87;201;803,0.8586682900743728,0.7268399610059562
positional_benefit,66,220,23;41;59;93;201,35;71;87;155;803,0.879040056582526,0.7152769873156658
positional_benefit,67,220,23;41;59;93;803,35;71;87;155;201,0.8936864349217744,0.7594112575579134
positional_benefit,68,220,23;41;59;155;201,35;71;87;93;803,0.851472712009464,0.7238173591114768
positional_benefit,69,220,23;41;59;155;803,35;71;87;93;201,0.8878829155147642,0.7682018223517014
positional_benefit,70,220,23;41;59;201;803,35;71;87;93;155,0.8595405677392434,0.7225754100854827
positional_benefit,71,220,23;41;71;87;93,35;59;155;201;803,0.8883206100078374,0.7704174954779306
positional_benefit,72,220,23;41;71;87;155,35;59;93;201;803,0.8885609483115385,0.7236990245854066
positional_benefit,73,220,23;41;71;87;201,35;59;93;155;803,0.8316491653074349,0.6714357358998777
positional_benefit,74,220,23;41;71;87;803,35;59;93;155;201,0.8658596449507585,0.7304666324811369
positional_benefit,75,220,23;41;71;93;155,35;59;87;201;803,0.8246372562801453,0.7107960532618066
positional_benefit,76,220,23;41;71;93;201,35;59;87;155;803,0.8811757983507401,0.7171962606289761
positional_benefit,77,220,23;41;71;93;803,35;59;87;155;201,0.8775455346484451,0.763922620489905
positional_benefit,78,220,23;41;71;155;201,35;59;87;93;803,0.82834326351991,0.7318810118165476
positional_benefit,79,220,23;41;71;155;803,35;59;87;93;201,0.8458637758070808,0.7155271803136428
positional_benefit,80,220,23;41;71;201;803,35;59;87;93;155,0.8551021048333867,0.6949865605788249
positional_benefit,81,220,23;41;87;93;155,35;59;71;201;803,0.8652646952222965,0.7604390774414949
positional_benefit,82,220,23;41;87;93;201,35;59;71;155;803,0.8537369329166549,0.7085206493747993
positional_benefit,83,220,23;41;87;93;803,35;59;71;155;201,0.8652990640239488,0.7733758586296862
positional_benefit,84,220,23;41;87;155;201,35;59;71;93;803,0.8722200834598833,0.724500318376225
positional_benefit,85,220,23;41;87;155;803,35;59;71;93;201,0.90640371616471,0.7597042763843731
positional_benefit,86,220,23;41;87;201;803,35;59;71;93;155,0.8461524920699508,0.7044555766554156
positional_benefit,87,220,23;41;93;155;201,35;59;71;87;803,0.8196833225686067,0.6865735392729752
positional_benefit,88,220,23;41;93;155;803,35;59;71;87;201,0.8148742736084631,0.7248632109228402
