variant,seed,orientation,n,mae,rmse,median_ae,r2
midpoint,167,inference_symmetrised,220,0.3397817975418134,0.5266282804807825,0.22333428263664246,0.6014429174293487
midpoint,167,reverse,220,0.3397817975418134,0.5266282804807825,0.22333428263664246,0.6014429174293487
midpoint,197,forward,220,0.33603992279280315,0.5472016555641877,0.2352217510342598,0.5696944162633921
midpoint,197,inference_symmetrised,220,0.33603992279280315,0.5472016555641877,0.2352217510342598,0.5696944162633921
midpoint,197,reverse,220,0.33603992279280315,0.5472016555641877,0.2352217510342598,0.5696944162633921
positional,7,forward,220,0.2754965756427158,0.4454139041172032,0.16652995347976685,0.7148917948345286
positional,7,inference_symmetrised,220,0.2994807689704678,0.46686034400294174,0.17753642052412033,0.6867751948997349
positional,7,reverse,220,0.34875116578557275,0.5378005385179634,0.20459718629717827,0.5843530081079148
positional,17,forward,220,0.32325097132812847,0.504175532892557,0.1853330135345459,0.6347033342008874
positional,17,inference_symmetrised,220,0.3378319096836177,0.5058839001825146,0.21863188594579697,0.632223570190779
positional,17,reverse,220,0.3820054776289246,0.5410088349529719,0.2745458483695984,0.5793790585549696
positional,29,forward,220,0.30173623717644,0.47977719613500275,0.1958160400390625,0.669203138553717
positional,29,inference_symmetrised,220,0.3021169739352031,0.4712517668205811,0.1997610181570053,0.6808549159106785
positional,29,reverse,220,0.32597643285989764,0.4826188157568134,0.22543399035930634,0.6652730536398999
positional,43,forward,220,0.2851599280807105,0.44305977559103615,0.17679443210363388,0.7178975729140411
positional,43,inference_symmetrised,220,0.292140273953026,0.4465474413115981,0.1921086683869362,0.7134388002847041
positional,43,reverse,220,0.32195825082334606,0.47296731628733496,0.20936981588602066,0.6785270487437549
positional,71,forward,220,0.28962006318298256,0.4527936409168612,0.1685917153954506,0.7053660323635256
positional,71,inference_symmetrised,220,0.30061395689845083,0.4665836618049847,0.18217706680297852,0.6871463467795361
positional,71,reverse,220,0.357123654064807,0.5372409767471708,0.21390819549560547,0.5852174890988566
positional,89,forward,220,0.28788159001957286,0.4308600064514442,0.19821377098560333,0.7332192166182394
positional,89,inference_symmetrised,220,0.2955823909829963,0.4348375554672777,0.20626041293144226,0.7282708267286775
positional,89,reverse,220,0.3197171234271743,0.4631498715271183,0.21444402635097504,0.6917342520079099
positional,101,forward,220,0.30199009735475885,0.47609101335593934,0.16571637988090515,0.6742667113747884
positional,101,inference_symmetrised,220,0.31641310328109695,0.49037727983927726,0.17438053339719772,0.6544245702659649
positional,101,reverse,220,0.36323670345273884,0.5405941401393838,0.23920591175556183,0.5800236412668965
positional,131,forward,220,0.31187032474712895,0.48442554021105366,0.19040019810199738,0.6627622052284082
positional,131,inference_symmetrised,220,0.32560950192538174,0.48261371735055947,0.20149784535169601,0.6652801257427139
positional,131,reverse,220,0.3648111478848891,0.5084952839711603,0.2678540050983429,0.6284168302522691
positional,167,forward,220,0.2727927965874022,0.43231777029479485,0.1779632568359375,0.7314109202873509
positional,167,inference_symmetrised,220,0.2856637198816646,0.4353201432478097,0.19385506957769394,0.7276673556459747
positional,167,reverse,220,0.3163869139823047,0.4603802438686187,0.21856647729873657,0.6954100753032519
positional,197,forward,220,0.2919051254337484,0.4615495411554357,0.17032663524150848,0.6938608843068123
positional,197,inference_symmetrised,220,0.29567766575650734,0.45640697330847213,0.1935562863945961,0.7006448604914728
positional,197,reverse,220,0.3142045344818722,0.47549800419650834,0.19035133719444275,0.675077659359328
positional_invariant,7,forward,220,0.30439941666342996,0.485464025190109,0.17943745106458664,0.661314751522922
positional_invariant,7,inference_symmetrised,220,0.3043994188986041,0.4854640274403337,0.17943746596574783,0.6613147483831717
positional_invariant,7,reverse,220,0.3043994211337783,0.48546402969055885,0.17943748086690903,0.6613147452434207
positional_invariant,17,forward,220,0.2796306738121943,0.4414833477107216,0.15632197260856628,0.7199014694469287
positional_invariant,17,inference_symmetrised,220,0.2796306735412641,0.44148334750224727,0.15632197260856628,0.7199014697114612
positional_invariant,17,reverse,220,0.2796306732703339,0.44148334729377375,0.15632197260856628,0.7199014699759927
positional_invariant,29,forward,220,0.3125650372017514,0.5071586033840967,0.17806978523731232,0.6303678225375622
positional_invariant,29,inference_symmetrised,220,0.3125650352375074,0.5071585999540188,0.17806978523731232,0.6303678275374465
positional_invariant,29,reverse,220,0.3125650332732634,0.5071585965239419,0.17806978523731232,0.6303678325373292
positional_invariant,43,forward,220,0.2819032589142973,0.4467155733258512,0.16470548510551453,0.7132229702181303
positional_invariant,43,inference_symmetrised,220,0.28190325803377414,0.44671557348937496,0.16470547765493393,0.7132229700081762
positional_invariant,43,reverse,220,0.28190325715325093,0.4467155736529,0.16470547020435333,0.7132229697982206
positional_invariant,71,forward,220,0.3109312714500861,0.47364834570274783,0.20603960752487183,0.6776005992836175
positional_invariant,71,inference_symmetrised,220,0.3109312765300274,0.4736483506397627,0.20603960752487183,0.6776005925626369
positional_invariant,71,reverse,220,0.3109312816099687,0.4736483555767793,0.20603960752487183,0.6776005858416541
positional_invariant,89,forward,220,0.34684195003726265,0.5460429884130565,0.19671548157930374,0.5715147802258327
positional_invariant,89,inference_symmetrised,220,0.3468419487503442,0.54604298555682,0.19671548157930374,0.5715147847084657
positional_invariant,89,reverse,220,0.3468419474634257,0.5460429827005837,0.19671548157930374,0.5715147891910981
positional_invariant,101,forward,220,0.3166690735654397,0.5097262651196943,0.18545391410589218,0.6266155725024545
positional_invariant,101,inference_symmetrised,220,0.3166690721430562,0.509726262715161,0.18545391410589218,0.6266155760251895
positional_invariant,101,reverse,220,0.31666907072067263,0.5097262603106287,0.18545391410589218,0.6266155795479229
positional_invariant,131,forward,220,0.2889148850332607,0.45465303321811945,0.16667789220809937,0.7029412413269056
positional_invariant,131,inference_symmetrised,220,0.2889148830690167,0.4546530307225253,0.16667789220809937,0.7029412445880215
positional_invariant,131,reverse,220,0.28891488110477276,0.4546530282269321,0.16667789220809937,0.7029412478491361
positional_invariant,167,forward,220,0.2888752480799502,0.4606825160822366,0.16073910892009735,0.6950099743130771
positional_invariant,167,inference_symmetrised,220,0.28887524896047334,0.4606825162345422,0.16073910892009735,0.6950099741114124
positional_invariant,167,reverse,220,0.2888752498409965,0.46068251638684865,0.16073910892009735,0.6950099739097466
positional_invariant,197,forward,220,0.31676277430220084,0.4794987904438992,0.20377951860427856,0.6695869375706655
positional_invariant,197,inference_symmetrised,220,0.3167627754536542,0.47949879189793365,0.20377951860427856,0.6695869355667731
positional_invariant,197,reverse,220,0.31676277660510754,0.47949879335196854,0.20377951860427856,0.6695869335628801
shuffled_s,7,forward,220,0.31529122997413983,0.5289419344957821,0.16665030643343925,0.597933235833375
shuffled_s,7,inference_symmetrised,220,0.3156637191772461,0.5319100180214423,0.16285620257258415,0.5934082932308267
shuffled_s,7,reverse,220,0.32132980037819253,0.5396867401008122,0.16031786799430847,0.5814323384925597
shuffled_s,17,forward,220,0.3259645695036108,0.4936145829585202,0.20494450628757477,0.6498467677975711
shuffled_s,17,inference_symmetrised,220,0.3182849470187317,0.4803182151598491,0.20034600794315338,0.6684566741414297
shuffled_s,17,reverse,220,0.3190444140271707,0.47458174823949384,0.20365269482135773,0.6763286643730054
shuffled_s,29,forward,220,0.31576501855796035,0.5457107067115625,0.1641891598701477,0.5720361108923584
shuffled_s,29,inference_symmetrised,220,0.3120909464630214,0.538202153595814,0.1634659618139267,0.5837319881701626
shuffled_s,29,reverse,220,0.3120344170792536,0.5360086578609061,0.17000433802604675,0.587118156079506
shuffled_s,43,forward,220,0.33600749590180135,0.5637552793918648,0.17437082529067993,0.5432659182216797
shuffled_s,43,inference_symmetrised,220,0.3301768419417468,0.5471407181201507,0.17644003033638,0.5697902502657568
shuffled_s,43,reverse,220,0.3306508936665275,0.5384114858011733,0.1911076307296753,0.5834081126655687
shuffled_s,71,forward,220,0.2947774583643133,0.47482283780339657,0.16138437390327454,0.6759997279897945
shuffled_s,71,inference_symmetrised,220,0.29345982345667754,0.47353450885574094,0.16101467609405518,0.6777555518817997
shuffled_s,71,reverse,220,0.29938948317007585,0.47693092698940304,0.1781235933303833,0.6731163886324123
shuffled_s,89,forward,220,0.28147634200074456,0.43482318956064775,0.16579686105251312,0.7282887808883389
shuffled_s,89,inference_symmetrised,220,0.27747718021273615,0.43071556963281116,0.1616000235080719,0.7333980520096003
shuffled_s,89,reverse,220,0.2785892982374538,0.43043865288260746,0.1683134362101555,0.7337407506156586
shuffled_s,101,forward,220,0.34268103526397187,0.56382781876921,0.1979118287563324,0.5431483731142872
shuffled_s,101,inference_symmetrised,220,0.33923420408232646,0.5610486641468811,0.1851579025387764,0.5476409935024833
shuffled_s,101,reverse,220,0.342564330520955,0.5622112355838143,0.18558767437934875,0.5457643487024033
shuffled_s,131,forward,220,0.32673542418263174,0.5196723880710821,0.18152187764644623,0.6119019504713059
shuffled_s,131,inference_symmetrised,220,0.3215997394513,0.508483815995532,0.18337353318929672,0.6284335905205223
shuffled_s,131,reverse,220,0.3278765404766256,0.5081614671447221,0.2067936435341835,0.6289045437209555
shuffled_s,167,forward,220,0.30802582786841826,0.498942939296042,0.18574079871177673,0.6422464610235874
shuffled_s,167,inference_symmetrised,220,0.3065927184440873,0.49632492796817934,0.18484894931316376,0.6459909596921881
shuffled_s,167,reverse,220,0.3086828192526644,0.49702451949219667,0.18076848983764648,0.6449922741334633
shuffled_s,197,forward,220,0.3295846832069484,0.5433869334844503,0.19399045407772064,0.5756731061691922
shuffled_s,197,inference_symmetrised,220,0.33278094171123074,0.5452388909917689,0.19512595236301422,0.5727758171100038
shuffled_s,197,reverse,220,0.34193181964484126,0.5535928318682614,0.18795357644557953,0.5595839957247641
unordered,7,forward,220,0.35792429569092665,0.5618694715899012,0.21523139253258705,0.546316433739144
unordered,7,inference_symmetrised,220,0.35792429569092665,0.5618694715899012,0.21523139253258705,0.546316433739144
unordered,7,reverse,220,0.35792429569092665,0.5618694715899012,0.21523139253258705,0.546316433739144
unordered,17,forward,220,0.37887337092648854,0.6224284237481198,0.2026004195213318,0.44324899453545685
unordered,17,inference_symmetrised,220,0.37887337092648854,0.6224284237481198,0.2026004195213318,0.44324899453545685
unordered,17,reverse,220,0.37887337092648854,0.6224284237481198,0.2026004195213318,0.44324899453545685
unordered,29,forward,220,0.34928687113252554,0.5728210357109683,0.20013325661420822,0.5284583132774722
unordered,29,inference_symmetrised,220,0.34928687113252554,0.5728210357109683,0.20013325661420822,0.5284583132774722
unordered,29,reverse,220,0.34928687113252554,0.5728210357109683,0.20013325661420822,0.5284583132774722
unordered,43,forward,220,0.35459933402863414,0.5451925238159797,0.22446604073047638,0.5728484764042301
unordered,43,inference_symmetrised,220,0.35459933402863414,0.5451925238159797,0.22446604073047638,0.5728484764042301
unordered,43,reverse,220,0.35459933402863414,0.5451925238159797,0.22446604073047638,0.5728484764042301
unordered,71,forward,220,0.3367689551277594,0.5763988573489632,0.18826258182525635,0.5225494492322633
unordered,71,inference_symmetrised,220,0.3367689551277594,0.5763988573489632,0.18826258182525635,0.5225494492322633
unordered,71,reverse,220,0.3367689551277594,0.5763988573489632,0.18826258182525635,0.5225494492322633
unordered,89,forward,220,0.36414880075237965,0.5971204221306938,0.21264757215976715,0.4876036519649992
unordered,89,inference_symmetrised,220,0.36414880075237965,0.5971204221306938,0.21264757215976715,0.4876036519649992
unordered,89,reverse,220,0.36414880075237965,0.5971204221306938,0.21264757215976715,0.4876036519649992
unordered,101,forward,220,0.3761087525297295,0.6078511770053978,0.23685380071401596,0.4690217886407033
unordered,101,inference_symmetrised,220,0.3761087525297295,0.6078511770053978,0.23685380071401596,0.4690217886407033
unordered,101,reverse,220,0.3761087525297295,0.6078511770053978,0.23685380071401596,0.4690217886407033
