family,outcome,feature,n,spearman_rho,p_value,bootstrap_ci_low,bootstrap_ci_high,fdr_p_value
exploratory_profile,delta_bvse,dft_profile_weighted_mean_oxi_asymmetry,200,0.0373194889664996,0.5998251577271025,-0.10308186545588661,0.18053845550747633,0.9782425419176661
exploratory_profile,delta_bvse,bvse_profile_volume_s_max,220,0.03372886596401853,0.6187860387878139,-0.10504112921749846,0.17237376177271999,0.9782425419176661
exploratory_profile,delta_bvse,bvse_profile_effective_cn_min,220,0.03629601663445338,0.592327288847115,-0.10258509137374701,0.17021043441516304,0.9782425419176661
exploratory_profile,delta_bvse,bvse_profile_effective_cn_s_min,220,0.034371429406299205,0.6121153196412122,-0.09228303531219494,0.15149111948284313,0.9782425419176661
exploratory_profile,delta_bvse,bvse_profile_mean_rc_s_max,220,-0.03976979490946254,0.5573694795014855,-0.17945788394516363,0.09788380071132809,0.9782425419176661
exploratory_profile,delta_bvse,bvse_profile_mean_rc_asymmetry,220,-0.037544174713652984,0.5796520060078998,-0.1650578506175913,0.09607976682445296,0.9782425419176661
exploratory_profile,delta_bvse,bvse_profile_weighted_mean_oxi_s_max,220,0.03155704291050478,0.6415619038723759,-0.10164515513480407,0.16814768831486665,0.9782425419176661
exploratory_profile,delta_bvse,dft_profile_volume_min,220,-0.01325121292889222,0.8450515143856976,-0.1518859880002786,0.12339323273504942,0.9923185782465475
exploratory_profile,delta_bvse,dft_profile_volume_max,220,-0.01922992398415444,0.7766960574700017,-0.15344030501232586,0.11718999301563102,0.9923185782465475
exploratory_profile,delta_bvse,dft_profile_volume_range,220,-0.0265182037945938,0.6956814539216302,-0.15826923345518842,0.10774171415901694,0.9923185782465475
exploratory_profile,delta_bvse,dft_profile_effective_cn_max,220,-0.016564579658858467,0.8069910937142741,-0.15164436662307165,0.12362636150774464,0.9923185782465475
exploratory_profile,delta_bvse,dft_profile_effective_cn_s_min,220,0.01288561755093404,0.8492748868121665,-0.11133280158127856,0.14088727064910378,0.9923185782465475
exploratory_profile,delta_bvse,dft_profile_mean_rc_min,220,0.002410160657130344,0.9716452745330777,-0.13351793621204064,0.13614216373224106,0.9923185782465475
exploratory_profile,delta_bvse,dft_profile_mean_rc_max,220,0.020673809071999588,0.7604210799293317,-0.11728094393563604,0.16042238399052652,0.9923185782465475
exploratory_profile,delta_bvse,dft_profile_mean_rc_s_min,220,0.003804379389621962,0.9552567168919587,-0.12411836214671734,0.13298199172943206,0.9923185782465475
exploratory_profile,delta_bvse,dft_profile_mean_rc_s_max,220,-0.008368642977369238,0.9017728755397056,-0.13818378634326645,0.12901190885067007,0.9923185782465475
exploratory_profile,delta_bvse,dft_profile_weighted_mean_oxi_range,200,0.015963423030728275,0.8224801993858072,-0.12924817520847043,0.16495774404395225,0.9923185782465475
exploratory_profile,delta_bvse,bvse_profile_volume_s_min,220,0.010702368614237276,0.8745813092181011,-0.11352367003491717,0.13630894264360302,0.9923185782465475
exploratory_profile,delta_bvse,bvse_profile_effective_cn_s_max,220,0.012252105215847568,0.856603360818789,-0.1321893063104227,0.1572231504188811,0.9923185782465475
exploratory_profile,delta_bvse,bvse_profile_mean_rc_min,220,-0.004199367393938249,0.9506168834093268,-0.14024306255752375,0.12676176615421955,0.9923185782465475
exploratory_profile,delta_bvse,bvse_profile_mean_rc_max,220,-0.005238940367963809,0.9384136065700261,-0.13942666937468373,0.1341953709982448,0.9923185782465475
exploratory_profile,delta_bvse,bvse_profile_mean_rc_s_min,220,-0.012970886146205635,0.8482894717320336,-0.1426359701428958,0.11421378585079768,0.9923185782465475
exploratory_profile,delta_bvse,bvse_profile_weighted_mean_oxi_range,220,-0.00013242200695976785,0.9984417750374334,-0.1418868572658159,0.14034973522295752,0.9984417750374334
exploratory_profile,delta_pos,dft_profile_volume_range,220,-0.03981562353842773,0.5569150380091589,-0.18010146159904625,0.09795639554347868,0.8603364518813044
exploratory_profile,delta_pos,dft_profile_volume_s_max,220,0.046369335305671576,0.49383719488874495,-0.10168140970498485,0.18859154224379962,0.8603364518813044
exploratory_profile,delta_pos,dft_profile_volume_asymmetry,220,-0.04814524717828505,0.47742298031438596,-0.1863013524263313,0.08838306970428522,0.8603364518813044
exploratory_profile,delta_pos,dft_profile_effective_cn_min,220,0.04042645509204735,0.550875148550601,-0.09408902589048779,0.17162953283464719,0.8603364518813044
exploratory_profile,delta_pos,dft_profile_effective_cn_s_min,220,-0.10594098209717563,0.11715687709384226,-0.23419631613018413,0.020449262037241154,0.8603364518813044
exploratory_profile,delta_pos,dft_profile_effective_cn_s_max,220,-0.07281293410463319,0.2822557127161663,-0.21460089396508353,0.06571231231030543,0.8603364518813044
exploratory_profile,delta_pos,dft_profile_effective_cn_asymmetry,220,0.04337129429796633,0.5222137121542932,-0.09433212750564827,0.18102416571312346,0.8603364518813044
exploratory_profile,delta_pos,dft_profile_mean_rc_min,220,0.07470427355493463,0.2699083769718633,-0.06153410890247349,0.20430631233441343,0.8603364518813044
exploratory_profile,delta_pos,dft_profile_mean_rc_max,220,0.03295930801955016,0.626816340181373,-0.10679070484429383,0.16771988179684724,0.8603364518813044
exploratory_profile,delta_pos,dft_profile_mean_rc_range,220,-0.0828487692303669,0.2209708177824729,-0.2195433753615294,0.05524173078120922,0.8603364518813044
exploratory_profile,delta_pos,dft_profile_mean_rc_s_max,220,-0.0720697329780837,0.2872100949594576,-0.20460958752180308,0.055770966190599194,0.8603364518813044
exploratory_profile,delta_pos,dft_profile_mean_rc_asymmetry,220,0.031208204304054563,0.6452523389109782,-0.1051042445685816,0.16579572027284173,0.8603364518813044
exploratory_profile,delta_pos,dft_profile_weighted_mean_oxi_min,200,-0.03889249325367962,0.5845283153789951,-0.18334597392996752,0.10441045109817382,0.8603364518813044
exploratory_profile,delta_pos,dft_profile_weighted_mean_oxi_max,200,0.04201611342705309,0.5546986193664025,-0.10379180143316692,0.1827531414673673,0.8603364518813044
exploratory_profile,delta_pos,dft_profile_weighted_mean_oxi_range,200,0.06378769037386668,0.3695300173777719,-0.09262416211724342,0.21892975087563588,0.8603364518813044
exploratory_profile,delta_pos,dft_profile_weighted_mean_oxi_s_max,200,-0.11430950388218496,0.1070195927648859,-0.24937219217931772,0.018074988657043944,0.8603364518813044
exploratory_profile,delta_pos,dft_profile_weighted_mean_oxi_asymmetry,200,0.12227424026750466,0.08455303124681776,-0.011877612798287526,0.252107692515635,0.8603364518813044
exploratory_profile,delta_pos,bvse_profile_volume_min,220,-0.05743056299059522,0.39661612376225347,-0.20419267448828732,0.09670072083928233,0.8603364518813044
exploratory_profile,delta_pos,bvse_profile_volume_max,220,-0.032951094030868405,0.6269022923877885,-0.16500817918299718,0.09727267435516516,0.8603364518813044
exploratory_profile,delta_pos,bvse_profile_volume_range,220,0.09825935547128134,0.1463246357177098,-0.05576176514734654,0.2482335965473214,0.8603364518813044
exploratory_profile,delta_pos,bvse_profile_volume_s_min,220,0.052823773133358926,0.4356356351769399,-0.08290942798791517,0.18251651281464124,0.8603364518813044
exploratory_profile,delta_pos,bvse_profile_volume_asymmetry,220,0.043026433679133114,0.5255303852311536,-0.09915509624893454,0.1764328855137133,0.8603364518813044
