scenario,method,seed,best_epoch,trained_epochs,mae,rmse,median_ae,r2,spearman
dft_path,crystal,59,23,43,0.5299005351283333,0.8717864438771629,0.29041464626789093,-0.09220057120531466,0.2609748662130508
dft_path,crystal,71,7,27,0.5355034669691866,0.8473008833662212,0.30680811405181885,-0.031709654619858085,0.21834384962499703
dft_path,crystal,87,31,51,0.5381369833241809,0.8679210430866143,0.3007831275463104,-0.08253665979936997,0.22139500706911833
dft_path,crystal,93,41,61,0.5144523718140342,0.8446662694810871,0.24518461525440216,-0.02530359346676825,0.2674700899091152
dft_path,crystal,155,17,37,0.540949430248954,0.8661857520628088,0.3049883246421814,-0.07821221521113064,0.22137315538819938
dft_path,crystal,201,42,62,0.5175048265944827,0.8208615403448791,0.29401399195194244,0.03167310877691243,0.2683147486925686
dft_path,crystal,803,28,48,0.5317686605182561,0.8369848258518998,0.30136099457740784,-0.0067400483205379835,0.23752703032068323
dft_path,midpoint,23,25,45,0.34238537956367837,0.5577889728671619,0.21481487154960632,0.5528821329431282,0.6529789308193821
dft_path,midpoint,35,24,44,0.3390145153484561,0.5446447851434633,0.20649173855781555,0.5737063380521534,0.6432450708034915
dft_path,midpoint,41,9,29,0.35685040178624067,0.5625716721299511,0.21908295154571533,0.5451817363289934,0.6391236483097884
dft_path,midpoint,59,34,54,0.34031807190992613,0.5784893603924165,0.19281217455863953,0.519079900985421,0.6511892619870058
dft_path,midpoint,71,74,94,0.3785762880336155,0.6304736962230875,0.19777032732963562,0.4287632748259429,0.6203772053892924
dft_path,midpoint,87,27,47,0.36273557503115045,0.5844798577918014,0.22105740755796432,0.50906807528811,0.6265756805643993
dft_path,midpoint,93,59,79,0.3512876964428208,0.593315340147882,0.20294886827468872,0.49411321984094714,0.6404129311462107
dft_path,midpoint,155,22,42,0.36547323776917023,0.5655136127323892,0.22711223363876343,0.5404123993300871,0.6573663242478713
dft_path,midpoint,201,40,60,0.36232767592776904,0.5962313098263072,0.19713912159204483,0.4891284322376048,0.6192107650608859
dft_path,midpoint,803,30,50,0.3228046188300306,0.516374787659943,0.1859082281589508,0.6168117045096582,0.6811098651549901
dft_path,positional,23,52,72,0.29760524332523347,0.4856300588600929,0.17738492786884308,0.6610830442572413,0.757168536540011
dft_path,positional,35,51,71,0.2721499814228578,0.44261556828862186,0.15935932472348213,0.7184629554957253,0.8094870480043727
dft_path,positional,41,36,56,0.27974683872678063,0.4415122924024475,0.1754576489329338,0.7198647403995895,0.7618331708581506
dft_path,positional,59,50,70,0.27620043605566025,0.435135202621872,0.1750863939523697,0.7278987011140154,0.7731560945098415
dft_path,positional,71,45,65,0.28962006318298256,0.4527936409168612,0.1685917153954506,0.7053660323635256,0.7545753199258437
dft_path,positional,87,50,70,0.3191677925261584,0.6079084998668878,0.15213945508003235,0.46892163706810974,0.7221167229225246
dft_path,positional,93,30,50,0.3028404868461869,0.47911851492615803,0.1943577527999878,0.670110810319189,0.7760693778421417
dft_path,positional,155,30,50,0.32535219233144413,0.5030082733454632,0.21025048196315765,0.6363928347818936,0.7318911547759251
dft_path,positional,201,42,62,0.302686536650766,0.4653733551024049,0.198227196931839,0.6887673112554857,0.7266686576920259
dft_path,positional,803,27,47,0.30049743286587977,0.4604847375482106,0.1919536367058754,0.6952717925057957,0.7368724748257384
dft_path,trajectory,23,47,67,0.35557139163667506,0.5813551151246571,0.2084377557039261,0.5143032781257175,0.6360875224694724
dft_path,trajectory,35,24,44,0.33725160400975834,0.5378120323008467,0.18369102478027344,0.5843352416425094,0.6168914083499095
dft_path,trajectory,41,25,45,0.3686502681537108,0.5768723745124261,0.21389902383089066,0.5217646666412781,0.6380552565886973
dft_path,trajectory,59,34,54,0.3673189821568402,0.5812676833565206,0.2062327116727829,0.5144493579616808,0.6249178702039297
dft_path,trajectory,71,21,41,0.3367689551277594,0.5763988573489632,0.18826258182525635,0.5225494492322633,0.6504398099885609
dft_path,trajectory,87,26,46,0.38260624462907966,0.6040854126955,0.231845885515213,0.47558045001694216,0.5945453418459059
dft_path,trajectory,93,20,40,0.3520905940370126,0.5726238543418528,0.1874774545431137,0.5287828936491155,0.6393997622039523
dft_path,trajectory,155,60,80,0.35262853706424885,0.5818781964247673,0.19547754526138306,0.5134288619129852,0.6299746989513306
dft_path,trajectory,201,33,53,0.3718002040277828,0.6026210302463504,0.20943772792816162,0.4781198921621761,0.6211694832162197
dft_path,trajectory,803,42,62,0.3557779229500077,0.5641780958406413,0.2073373794555664,0.542580560203551,0.613580295610916
